,mutant_ID,mutated_genes,plate,i (converted to letter),j,source_df
821,LMJ.RY0402.059212,Cre09.g397216,16,C,10,mutants_end_down_y2
822,LMJ.RY0402.058246,Cre09.g392650,1,P,13,mutants_end_down_y2
823,LMJ.RY0402.224902,Cre17.g732533,13,E,5,mutants_end_down_y2
824,LMJ.RY0402.244771,Cre11.g478128,16,N,15,mutants_end_down_y2
825,LMJ.RY0402.054897,Cre02.g095115,1,L,11,mutants_end_down_y2
826,LMJ.RY0402.213834,Cre02.g146300,12,G,7,mutants_end_down_y2
829,LMJ.RY0402.139191,Cre10.g427550,6,P,14,mutants_end_down_y2
830,LMJ.RY0402.180777,Cre07.g321700,10,A,10,mutants_end_down_y2
831,LMJ.RY0402.222419,Cre02.g146300,16,K,3,mutants_end_down_y2
832,LMJ.RY0402.119566,Cre12.g506600,5,I,18,mutants_end_down_y2
833,LMJ.RY0402.167932,Cre07.g322350,9,C,23,mutants_end_down_y2
834,LMJ.RY0402.047311,Cre01.g049900,1,B,4,mutants_end_down_y2
836,LMJ.RY0402.222963,Cre16.g686200,13,B,11,mutants_end_down_y2
838,LMJ.RY0402.121229,Cre06.g308650,5,K,15,mutants_end_down_y2
839,LMJ.RY0402.232852,Cre03.g144484,13,M,19,mutants_end_down_y2
841,LMJ.RY0402.041124,Cre03.g200500,15,J,19,mutants_end_down_y2
842,LMJ.RY0402.184967,Cre11.g467741,10,G,16,mutants_end_down_y2
843,LMJ.RY0402.228465,Cre09.g398200,18,O,24,mutants_end_down_y2
844,LMJ.RY0402.077214,Cre07.g329300,2,C,22,mutants_end_down_y2
845,LMJ.RY0402.137997,Cre03.g174200,6,N,9,mutants_end_down_y2
846,LMJ.RY0402.186689,Cre06.g268850,10,H,12,mutants_end_down_y2
848,LMJ.RY0402.076747,Cre12.g505100,2,C,5,mutants_end_down_y2
849,LMJ.RY0402.110865,Cre01.g039550,20,O,9,mutants_end_down_y2
850,LMJ.RY0402.117408,Cre09.g412600,5,F,11,mutants_end_down_y2
851,LMJ.RY0402.083670,Cre03.g149250,3,E,10,mutants_end_down_y2
852,LMJ.RY0402.120439,Cre04.g220825,16,E,20,mutants_end_down_y2
854,LMJ.RY0402.113587,Cre09.g392650,5,A,24,mutants_end_down_y2
855,LMJ.RY0402.054909,Cre13.g585250,1,M,12,mutants_end_down_y2
856,LMJ.RY0402.226832,Cre08.g385650,13,F,2,mutants_end_down_y2
857,LMJ.RY0402.075178,Cre16.g691756,2,E,8,mutants_end_down_y2
859,LMJ.RY0402.211200,Cre10.g447350,12,D,20,mutants_end_down_y2
861,LMJ.RY0402.169371,Cre17.g699550,9,E,13,mutants_end_down_y2
862,LMJ.RY0402.087637,Cre11.g467756,3,I,23,mutants_end_down_y2
864,LMJ.RY0402.141252,Cre16.g688638,7,D,4,mutants_end_down_y2
865,LMJ.RY0402.216482,Cre02.g146300,12,K,11,mutants_end_down_y2
866,LMJ.RY0402.256887,Cre02.g087450,15,F,9,mutants_end_down_y2
868,LMJ.RY0402.257268,Cre03.g191350,15,F,13,mutants_end_down_y2
869,LMJ.RY0402.191617,Cre09.g401960,10,M,13,mutants_end_down_y2
870,LMJ.RY0402.185546,Cre01.g045450,10,G,4,mutants_end_down_y2
871,LMJ.RY0402.082380,Cre03.g144484,3,D,11,mutants_end_down_y2
872,LMJ.RY0402.210576,Cre11.g467756,12,D,22,mutants_end_down_y2
873,LMJ.RY0402.158783,Cre15.g640750,8,H,23,mutants_end_down_y2
874,LMJ.RY0402.144460,Cre16.g678050,7,G,5,mutants_end_down_y2
875,LMJ.RY0402.059455,Cre24.g755447,20,E,22,mutants_end_down_y2
876,LMJ.RY0402.230437,Cre09.g398200,13,K,8,mutants_end_down_y2
877,LMJ.RY0402.213712,Cre09.g395000,12,G,20,mutants_end_down_y2
878,LMJ.RY0402.208245,Cre13.g573150,22,I,19,mutants_end_down_y2
879,LMJ.RY0402.134014,Cre03.g200500,6,J,8,mutants_end_down_y2
880,LMJ.RY0402.159995,Cre08.g375800,8,I,19,mutants_end_down_y2
882,LMJ.RY0402.218517,Cre03.g169800,12,M,23,mutants_end_down_y2
883,LMJ.RY0402.085564,Cre09.g393650,3,F,21,mutants_end_down_y2
884,LMJ.RY0402.215592,Cre07.g347100,12,J,9,mutants_end_down_y2
886,LMJ.RY0402.183926,Cre03.g205650,10,E,23,mutants_end_down_y2
887,LMJ.RY0402.103749,Cre16.g686200,4,I,3,mutants_end_down_y2
888,LMJ.RY0402.079967,Cre16.g678050,20,I,18,mutants_end_down_y2
889,LMJ.RY0402.064692,Cre14.g625150,2,I,20,mutants_end_down_y2
890,LMJ.RY0402.150612,Cre16.g693600,7,O,20,mutants_end_down_y2
891,LMJ.RY0402.136531,Cre15.g640101,21,G,5,mutants_end_down_y2
892,LMJ.RY0402.099664,Cre11.g467610,4,C,13,mutants_end_down_y2
893,LMJ.RY0402.091075,Cre01.g004950,3,L,14,mutants_end_down_y2
894,LMJ.RY0402.148030,Cre10.g436000,7,L,15,mutants_end_down_y2
895,LMJ.RY0402.211809,Cre01.g019850,12,E,20,mutants_end_down_y2
896,LMJ.RY0402.057984,Cre03.g154651,1,O,23,mutants_end_down_y2
897,LMJ.RY0402.214705,Cre12.g537150,12,I,10,mutants_end_down_y2
899,LMJ.RY0402.177680,Cre02.g097500,9,N,4,mutants_end_down_y2
900,LMJ.RY0402.039259,Cre01.g023050,15,G,13,mutants_end_down_y2
901,LMJ.RY0402.254037,Cre03.g197750,15,C,24,mutants_end_down_y2
902,LMJ.RY0402.112591,Cre01.g028650,5,A,8,mutants_end_down_y2
903,LMJ.RY0402.171899,Cre04.g218500,9,G,4,mutants_end_down_y2
904,LMJ.RY0402.167416,Cre13.g581900,9,D,9,mutants_end_down_y2
906,LMJ.RY0402.122345,Cre17.g738050,5,M,9,mutants_end_down_y2
907,LMJ.RY0402.154664,Cre03.g205650,8,D,10,mutants_end_down_y2
908,LMJ.RY0402.183574,Cre04.g212550,16,H,18,mutants_end_down_y2
909,LMJ.RY0402.214744,Cre17.g732533,12,I,20,mutants_end_down_y2
910,LMJ.RY0402.073018,Cre02.g095115,2,E,6,mutants_end_down_y2
911,LMJ.RY0402.232801,Cre08.g385650,18,O,23,mutants_end_down_y2
912,LMJ.RY0402.222860,Cre01.g028650,13,A,12,mutants_end_down_y2
913,LMJ.RY0402.054822,Cre13.g573150,20,D,3,mutants_end_down_y2
914,LMJ.RY0402.189833,Cre09.g393650,10,L,6,mutants_end_down_y2
915,LMJ.RY0402.181769,Cre03.g154651,18,I,18,mutants_end_down_y2
916,LMJ.RY0402.040760,Cre17.g697050,15,K,20,mutants_end_down_y2
917,LMJ.RY0402.101878,Cre12.g495250,4,G,8,mutants_end_down_y2
919,LMJ.RY0402.216979,Cre07.g329300,12,K,21,mutants_end_down_y2
920,LMJ.RY0402.179191,Cre09.g411600,9,O,19,mutants_end_down_y2
921,LMJ.RY0402.198403,Cre03.g160350,11,E,7,mutants_end_down_y2
922,LMJ.RY0402.114338,Cre12.g506600,5,C,24,mutants_end_down_y2
923,LMJ.RY0402.252073,Cre13.g573500,15,B,11,mutants_end_down_y2
924,LMJ.RY0402.200883,Cre09.g404503,11,H,11,mutants_end_down_y2
926,LMJ.RY0402.234238,Cre09.g393000,13,O,18,mutants_end_down_y2
927,LMJ.RY0402.228483,Cre06.g285900,18,O,20,mutants_end_down_y2
928,LMJ.RY0402.049580,Cre12.g496100,1,E,8,mutants_end_down_y2
930,LMJ.RY0402.211080,Cre15.g640750,12,E,10,mutants_end_down_y2
931,LMJ.RY0402.143021,Cre16.g650500,7,E,11,mutants_end_down_y2
933,LMJ.RY0402.127175,Cre16.g667451,6,B,5,mutants_end_down_y2
934,LMJ.RY0402.174625,Cre06.g278187,9,J,18,mutants_end_down_y2
935,LMJ.RY0402.167835,Cre07.g322350,9,C,22,mutants_end_down_y2
936,LMJ.RY0402.178011,Cre07.g339900,9,N,12,mutants_end_down_y2
937,LMJ.RY0402.123245,Cre01.g003700,5,M,8,mutants_end_down_y2
938,LMJ.RY0402.041401,Cre09.g388050,15,K,5,mutants_end_down_y2
939,LMJ.RY0402.196379,Cre03.g197750,11,B,5,mutants_end_down_y2
940,LMJ.RY0402.178225,Cre16.g667451,9,N,24,mutants_end_down_y2
941,LMJ.RY0402.235297,Cre12.g512200,14,A,24,mutants_end_down_y2
942,LMJ.RY0402.128151,Cre15.g640101,21,D,5,mutants_end_down_y2
943,LMJ.RY0402.057206,Cre16.g661200,1,O,8,mutants_end_down_y2
944,LMJ.RY0402.202371,Cre01.g045450,11,J,11,mutants_end_down_y2
946,LMJ.RY0402.077750,Cre02.g146300,2,E,2,mutants_end_down_y2
947,LMJ.RY0402.256955,Cre07.g341900,15,F,21,mutants_end_down_y2
948,LMJ.RY0402.187560,Cre03.g160350,10,J,7,mutants_end_down_y2
949,LMJ.RY0402.081372,Cre03.g149250,3,C,9,mutants_end_down_y2
951,LMJ.RY0402.242991,Cre14.g613134,14,I,16,mutants_end_down_y2
952,LMJ.RY0402.228950,Cre01.g004950,13,F,18,mutants_end_down_y2
954,LMJ.RY0402.100896,Cre10.g427550,4,E,9,mutants_end_down_y2
956,LMJ.RY0402.064819,Cre06.g298500,2,K,12,mutants_end_down_y2
957,LMJ.RY0402.064019,Cre02.g097500,2,C,2,mutants_end_down_y2
958,LMJ.RY0402.184134,Cre06.g291400,18,J,12,mutants_end_down_y2
959,LMJ.RY0402.251875,Cre01.g039550,23,C,8,mutants_end_down_y2
960,LMJ.RY0402.192109,Cre01.g043250,10,N,6,mutants_end_down_y2
961,LMJ.RY0402.115421,Cre10.g447350,5,E,5,mutants_end_down_y2
962,LMJ.RY0402.114232,Cre11.g467610,5,C,21,mutants_end_down_y2
963,LMJ.RY0402.213711,Cre02.g115600,18,M,19,mutants_end_down_y2
964,LMJ.RY0402.180639,Cre03.g171650,9,P,20,mutants_end_down_y2
965,LMJ.RY0402.137774,Cre08.g367250,18,D,16,mutants_end_down_y2
966,LMJ.RY0402.109854,Cre11.g478128,4,O,15,mutants_end_down_y2
967,LMJ.RY0402.215556,Cre17.g722000,12,K,2,mutants_end_down_y2
968,LMJ.RY0402.233285,Cre09.g395288,13,N,4,mutants_end_down_y2
969,LMJ.RY0402.043847,Cre01.g011901,15,M,7,mutants_end_down_y2
970,LMJ.RY0402.188756,Cre03.g169800,10,J,15,mutants_end_down_y2
971,LMJ.RY0402.055391,Cre13.g605500,1,M,13,mutants_end_down_y2
973,LMJ.RY0402.201360,Cre01.g049900,11,H,3,mutants_end_down_y2
974,LMJ.RY0402.086713,Cre07.g339900,3,G,24,mutants_end_down_y2
978,LMJ.RY0402.139912,Cre04.g212550,7,A,17,mutants_end_down_y2
979,LMJ.RY0402.063230,Cre10.g417500,2,L,12,mutants_end_down_y2
981,LMJ.RY0402.099641,Cre07.g321700,4,B,23,mutants_end_down_y2
982,LMJ.RY0402.107020,Cre12.g537150,4,K,13,mutants_end_down_y2
983,LMJ.RY0402.136004,Cre07.g347100,6,M,7,mutants_end_down_y2
984,LMJ.RY0402.061062,Cre06.g308650,2,E,13,mutants_end_down_y2
985,LMJ.RY0402.161527,Cre06.g285900,16,G,20,mutants_end_down_y2
986,LMJ.RY0402.183692,Cre03.g174200,10,E,21,mutants_end_down_y2
987,LMJ.RY0402.216305,Cre07.g339900,12,K,22,mutants_end_down_y2
988,LMJ.RY0402.085477,Cre14.g613134,3,G,5,mutants_end_down_y2
991,LMJ.RY0402.225422,Cre06.g298500,13,D,12,mutants_end_down_y2
993,LMJ.RY0402.147482,Cre12.g505100,7,K,7,mutants_end_down_y2
994,LMJ.RY0402.116340,Cre17.g722000,5,F,24,mutants_end_down_y2
996,LMJ.RY0402.124927,Cre07.g353600,5,O,7,mutants_end_down_y2
997,LMJ.RY0402.043448,Cre03.g191350,15,M,18,mutants_end_down_y2
999,LMJ.RY0402.172526,Cre09.g412600,9,G,21,mutants_end_down_y2
1000,LMJ.RY0402.187050,Cre10.g417500,10,I,21,mutants_end_down_y2
1001,LMJ.RY0402.147464,Cre04.g218500,7,J,16,mutants_end_down_y2
1002,LMJ.RY0402.190454,Cre17.g738050,10,L,19,mutants_end_down_y2
1004,LMJ.RY0402.220565,Cre16.g691756,12,O,16,mutants_end_down_y2
1005,LMJ.RY0402.168748,Cre17.g697050,9,E,12,mutants_end_down_y2
1006,LMJ.RY0402.092967,Cre01.g003700,3,M,11,mutants_end_down_y2
1007,LMJ.RY0402.135873,Cre06.g274400,6,L,2,mutants_end_down_y2
1008,LMJ.RY0402.204992,Cre06.g278235,11,L,22,mutants_end_down_y2
1009,LMJ.RY0402.042123,Cre03.g191350,15,L,7,mutants_end_down_y2
1010,LMJ.RY0402.207964,Cre24.g755447,23,P,21,mutants_end_down_y2
1011,LMJ.RY0402.229466,Cre17.g741950,22,N,21,mutants_end_down_y2
1014,LMJ.RY0402.042891,Cre03.g159150,17,L,21,mutants_end_down_y2
1015,LMJ.RY0402.109563,Cre06.g278187,4,M,17,mutants_end_down_y2
1018,LMJ.RY0402.174304,Cre17.g699550,9,K,16,mutants_end_down_y2
1019,LMJ.RY0402.223850,Cre08.g365825,13,C,7,mutants_end_down_y2
1020,LMJ.RY0402.175584,Cre09.g401960,9,L,10,mutants_end_down_y2
1021,LMJ.RY0402.158731,Cre16.g693600,8,I,1,mutants_end_down_y2
1023,LMJ.RY0402.234079,Cre17.g741950,22,P,2,mutants_end_down_y2
1027,LMJ.RY0402.087687,Cre02.g115600,3,I,4,mutants_end_down_y2
1029,LMJ.RY0402.204633,Cre10.g436000,11,M,8,mutants_end_down_y2
1030,LMJ.RY0402.081824,Cre01.g023050,3,D,10,mutants_end_down_y2
1031,LMJ.RY0402.183511,Cre13.g585250,10,E,4,mutants_end_down_y2
1032,LMJ.RY0402.256964,Cre01.g011901,16,P,16,mutants_end_down_y2
1033,LMJ.RY0402.130822,Cre17.g723950,6,G,6,mutants_end_down_y2
1034,LMJ.RY0402.179278,Cre06.g291400,9,O,15,mutants_end_down_y2
1035,LMJ.RY0402.175777,Cre04.g215800,9,L,5,mutants_end_down_y2
1038,LMJ.RY0402.056940,Cre17.g723950,17,O,5,mutants_end_down_y2
1039,LMJ.RY0402.137068,Cre13.g573500,6,O,6,mutants_end_down_y2
1040,LMJ.RY0402.066970,Cre24.g755747,2,F,10,mutants_end_down_y2
1042,LMJ.RY0402.165948,Cre12.g553950,9,A,6,mutants_end_down_y2
1044,LMJ.RY0402.131586,Cre12.g553950,6,F,24,mutants_end_down_y2
1045,LMJ.RY0402.217270,Cre12.g512200,12,M,12,mutants_end_down_y2
1046,LMJ.RY0402.229006,Cre07.g341900,13,J,5,mutants_end_down_y2
1047,LMJ.RY0402.183893,Cre09.g397216,10,F,8,mutants_end_down_y2
1048,LMJ.RY0402.134982,Cre03.g159150,6,K,16,mutants_end_down_y2
1050,LMJ.RY0402.047320,Cre03.g197750,1,A,12,mutants_end_down_y2
1052,LMJ.RY0402.137782,Cre14.g625150,6,O,12,mutants_end_down_y2
1053,LMJ.RY0402.092241,Cre09.g388986,3,M,23,mutants_end_down_y2
1054,LMJ.RY0402.122605,Cre16.g650500,5,M,7,mutants_end_down_y2
1055,LMJ.RY0402.090199,Cre01.g043250,3,K,17,mutants_end_down_y2
1056,LMJ.RY0402.180721,Cre04.g218500,9,P,23,mutants_end_down_y2
1057,LMJ.RY0402.191904,Cre08.g365825,10,M,9,mutants_end_down_y2
1058,LMJ.RY0402.176843,Cre09.g395288,17,H,2,mutants_end_down_y2
1061,LMJ.RY0402.046272,Cre24.g755747,16,B,16,mutants_end_down_y2
1062,LMJ.RY0402.056862,Cre06.g281050,1,N,12,mutants_end_up_y2
1063,LMJ.RY0402.160721,Cre13.g577950,23,O,16,mutants_end_up_y2
1064,LMJ.RY0402.209124,Cre01.g038151,23,P,16,mutants_end_up_y2
1067,LMJ.RY0402.185266,Cre06.g278194,16,H,23,mutants_end_up_y2
1070,LMJ.RY0402.184156,Cre07.g315850,17,H,18,mutants_end_up_y2
1072,LMJ.RY0402.056088,Cre16.g676869,1,M,17,mutants_end_up_y2
1073,LMJ.RY0402.063493,Cre12.g516450,2,O,1,mutants_end_up_y2
1074,LMJ.RY0402.207167,Cre03.g185500,11,O,19,mutants_end_up_y2
1075,LMJ.RY0402.092908,Cre13.g584901,20,L,7,mutants_end_up_y2
1076,LMJ.RY0402.112222,Cre02.g106650,4,P,1,mutants_end_up_y2
1078,LMJ.RY0402.180444,Cre04.g219700,22,C,2,mutants_end_up_y2
1079,LMJ.RY0402.086572,Cre03.g153400,3,G,14,mutants_end_up_y2
1080,LMJ.RY0402.133405,Cre11.g482101,17,E,3,mutants_end_up_y2
1083,LMJ.RY0402.203656,Cre06.g281050,11,K,20,mutants_end_up_y2
1084,LMJ.RY0402.088852,Cre16.g676869,3,K,8,mutants_end_up_y2
1085,LMJ.RY0402.256942,Cre06.g278177,15,F,19,mutants_end_up_y2
1086,LMJ.RY0402.252312,Cre01.g038151,23,C,7,mutants_end_up_y2
1087,LMJ.RY0402.231268,Cre13.g577950,22,O,4,mutants_end_up_y2
1089,LMJ.RY0402.152421,Cre13.g577950,21,K,16,mutants_end_up_y2
1090,LMJ.RY0402.152279,Cre12.g496900,8,B,8,mutants_end_up_y2
1091,LMJ.RY0402.192969,Cre07.g337300,22,E,17,mutants_end_up_y2
1092,LMJ.RY0402.178647,Cre03.g185500,9,N,6,mutants_end_up_y2
1094,LMJ.RY0402.204698,Cre12.g496900,11,M,12,mutants_end_up_y2
1095,LMJ.RY0402.137531,Cre11.g482101,6,O,2,mutants_end_up_y2
1096,LMJ.RY0402.149022,Cre07.g337300,21,J,6,mutants_end_up_y2
1098,LMJ.RY0402.221932,Cre06.g278177,13,A,19,mutants_end_up_y2
1099,LMJ.RY0402.095703,Cre04.g219700,20,L,11,mutants_end_up_y2
1100,LMJ.RY0402.119286,Cre07.g315850,5,H,21,mutants_end_up_y2
1102,LMJ.RY0402.240458,Cre02.g106650,14,E,9,mutants_end_up_y2
1104,LMJ.RY0402.238056,Cre04.g219700,1,E,15,mutants_end_up_y2
1105,LMJ.RY0402.147218,Cre12.g516450,7,K,8,mutants_end_up_y2
1107,LMJ.RY0402.089290,Cre04.g219700,20,J,21,mutants_end_up_y2
1108,LMJ.RY0402.146100,Cre13.g584901,21,I,21,mutants_end_up_y2
1109,LMJ.RY0402.054597,Cre03.g153400,1,J,16,mutants_end_up_y2
1110,LMJ.RY0402.113112,Cre02.g119050,5,A,11,mutants_beg_down_y2
1111,LMJ.RY0402.125168,Cre01.g004124,5,N,18,mutants_beg_down_y2
1112,LMJ.RY0402.170897,Cre10.g465650,21,P,23,mutants_beg_down_y2
1113,LMJ.RY0402.131560,Cre02.g119050,6,F,2,mutants_beg_down_y2
1114,LMJ.RY0402.207663,Cre10.g465450,11,P,7,mutants_beg_down_y2
1115,LMJ.RY0402.069853,Cre01.g008200,2,K,22,mutants_beg_down_y2
1116,LMJ.RY0402.106186,Cre10.g439350,4,K,10,mutants_beg_down_y2
1117,LMJ.RY0402.241889,Cre17.g730950,14,H,12,mutants_beg_down_y2
1118,LMJ.RY0402.238140,Cre10.g465450,14,D,15,mutants_beg_down_y2
1119,LMJ.RY0402.077377,Cre01.g004124,2,O,21,mutants_beg_down_y2
1120,LMJ.RY0402.131378,Cre01.g004124,6,E,18,mutants_beg_down_y2
1121,LMJ.RY0402.104045,Cre16.g674739,4,I,2,mutants_beg_down_y2
1124,LMJ.RY0402.107504,Cre01.g008200,4,K,23,mutants_beg_down_y2
1125,LMJ.RY0402.242893,Cre01.g018700,14,H,16,mutants_beg_down_y2
1126,LMJ.RY0402.247339,Cre10.g465650,23,B,14,mutants_beg_down_y2
1127,LMJ.RY0402.199379,Cre10.g439350,11,G,11,mutants_beg_down_y2
1128,LMJ.RY0402.240807,Cre17.g730950,14,H,13,mutants_beg_down_y2
1129,LMJ.RY0402.048700,Cre10.g465650,20,A,12,mutants_beg_down_y2
1132,LMJ.RY0402.247272,Cre01.g018700,14,L,20,mutants_beg_down_y2
1133,LMJ.RY0402.087556,Cre16.g674739,16,E,14,mutants_beg_down_y2
1134,LMJ.RY0402.103909,Cre06.g285451,4,H,6,mutants_beg_up_y2
1135,LMJ.RY0402.125941,Cre06.g285451,5,P,5,mutants_beg_up_y2
1136,LMJ.RY0402.179394,Cre07.g323450,9,O,17,mutants_beg_up_y2
1137,LMJ.RY0402.113423,Cre07.g323450,16,F,11,mutants_beg_up_y2
1138,LMJ.RY0402.043444,Cre02.g105350,15,M,13,mutants_beg_up_y2
1140,LMJ.RY0402.189319,Cre16.g648750,10,L,16,mutants_beg_up_y2
1141,LMJ.RY0402.143718,Cre16.g648750,7,F,24,mutants_beg_up_y2
1143,LMJ.RY0402.089180,Cre02.g105350,3,J,11,mutants_beg_up_y2
1144,LMJ.RY0402.229127,Cre07.g315850,13,I,20,mutants_beg_up_y2
1145,LMJ.RY0402.152855,Cre02.g095111,8,A,17,mutants_beg_up_y2
1146,LMJ.RY0402.116468,Cre06.g295600,5,F,3,mutants_beg_up_y2
1147,LMJ.RY0402.243044,Cre02.g095111,14,H,18,mutants_beg_up_y2
1150,LMJ.RY0402.141958,Cre16.g648750,7,D,2,mutants_beg_up_y2
1151,LMJ.RY0402.145715,Cre06.g295600,7,I,9,mutants_beg_up_y2
1154,LMJ.RY0402.078936,Cre10.g444000,3,A,11,special_mutants_y2
1159,LMJ.RY0402.209920,Cre10.g444000,12,C,6,special_mutants_y2
1160,LMJ.RY0402.217896,Cre10.g444000,12,M,8,special_mutants_y2
1167,LMJ.RY0402.252269,Cre10.g444000,15,A,22,special_mutants_y2
1173,LMJ.RY0402.134589,Cre10.g444000,18,D,20,special_mutants_y2
1179,LMJ.RY0402.064049,Cre10.g444000,17,A,10,special_mutants_y2
